onset	duration	trial_type
1.0331	0.7295	other
1.7626	42.8249	other
44.5875	1.8072	other
46.3947	2.0061	other
48.5334	15.0874	video4
63.6208	4.0	affect_rating4
67.633	0.1161	other
67.7491	4.0	compassion_rating4
71.7613	1.8237	other
73.5851	7.9913	question4
81.5764	1.0114	other
82.5877	1.2103	other
83.798	2.603	other
86.401	2.0061	other
88.5066	14.391	video2
102.8976	4.0	affect_rating2
106.9099	0.1161	other
107.0259	4.0	compassion_rating2
111.0382	1.4258	other
112.464	14.4242	question2
126.8882	1.0114	other
127.8995	0.0166	other
127.9161	2.2051	other
130.1212	2.0061	other
132.2268	15.4521	video2
147.6789	4.0	affect_rating2
151.6911	0.116	other
151.8072	4.0	compassion_rating2
155.8194	2.6196	other
158.439	12.8657	question2
171.3047	1.0114	other
172.3161	1.6082	other
173.9243	1.4093	other
175.3335	2.0061	other
177.4391	14.2087	video1
191.6478	4.0	affect_rating1
195.66	0.116	other
195.7761	4.0	compassion_rating1
199.7883	2.6196	other
202.4079	10.1633	question1
212.5711	1.0114	other
213.5825	2.0061	other
215.5886	2.2051	other
217.7936	2.0061	other
219.8992	13.2471	video4
233.1463	4.0	affect_rating4
237.1585	0.1161	other
237.2746	4.0	compassion_rating4
241.2868	2.6196	other
243.9064	11.788	question4
255.6944	1.0114	other
256.7058	0.8124	other
257.5182	2.603	other
260.1211	2.0061	other
262.2267	16.1816	video3
278.4083	4.0	affect_rating3
282.4206	0.1161	other
282.5366	4.0	compassion_rating3
286.5489	2.6196	other
289.1684	7.4442	question3
296.6127	1.0113	other
297.624	0.0166	other
297.6406	1.8072	other
299.4478	2.0061	other
301.5533	13.3631	video2
314.9164	4.0	affect_rating2
318.9287	0.1161	other
319.0447	4.0	compassion_rating2
323.057	1.8237	other
324.8807	10.1632	question2
335.044	1.0114	other
336.0553	0.4145	other
336.4698	1.4092	other
337.879	2.0061	other
339.9847	13.1475	video1
353.1322	4.0	affect_rating1
357.1445	0.1161	other
357.2605	4.0	compassion_rating1
361.2727	1.0279	other
362.3007	8.1405	question1
370.4412	1.0114	other
371.4526	0.0166	other
371.4692	1.8072	other
373.2763	2.0061	other
375.3819	16.6127	video1
391.9946	4.0	affect_rating1
396.0068	0.1161	other
396.1229	4.0	compassion_rating1
400.1351	2.2217	other
402.3568	11.2409	question1
413.5977	1.0113	other
414.609	0.8124	other
415.4214	3.0175	other
418.4389	2.0061	other
420.5445	14.3579	video3
434.9024	4.0	affect_rating3
438.9146	0.1161	other
439.0307	4.0	compassion_rating3
443.0429	1.4093	other
444.4522	12.8491	question3
457.3013	1.0114	other
458.3126	1.6082	other
459.9209	1.0114	other
460.9322	2.0061	other
463.0378	14.2916	video4
477.3294	4.0	affect_rating4
481.3416	0.1161	other
481.4577	4.0	compassion_rating4
485.4699	1.0279	other
486.4978	11.2575	question4
497.7553	1.0114	other
498.7667	0.8124	other
499.5791	2.603	other
502.182	2.0061	other
504.2876	14.0429	video4
518.3305	4.0	affect_rating4
522.3427	0.1161	other
522.4588	4.0	compassion_rating4
526.471	1.8237	other
528.2948	19.4312	question4
547.726	1.0114	other
548.7373	0.4145	other
549.1518	2.603	other
551.7548	2.0061	other
553.8604	12.8491	video2
566.7095	4.0	affect_rating2
570.7218	0.1161	other
570.8378	4.0	compassion_rating2
574.8501	1.4093	other
576.2593	9.0524	question2
585.3117	1.0113	other
