onset	duration	trial_type
1.0331	0.6632	other
1.6963	55.2101	other
56.9064	2.603	other
59.5094	2.0061	other
61.8637	14.3911	video3
76.2548	4.0	affect_rating3
80.267	0.1161	other
80.3831	4.0	compassion_rating3
84.3953	2.6196	other
87.0149	6.2174	question3
93.2322	1.0114	other
94.2436	2.0061	other
96.2497	2.603	other
98.8527	2.0061	other
100.9583	14.2916	video3
115.2499	4.0	affect_rating3
119.2622	0.1161	other
119.3783	4.0	compassion_rating3
123.3905	3.0175	other
126.408	9.0525	question3
135.4605	1.0114	other
136.4718	1.6082	other
138.08	1.0114	other
139.0914	2.0061	other
141.197	15.933	video4
157.13	4.0	affect_rating4
161.1423	0.1161	other
161.2583	4.0	compassion_rating4
165.2706	2.2051	other
167.4757	8.3727	question4
175.8484	1.0114	other
176.8597	0.0166	other
176.8763	3.0175	other
179.8938	2.0061	other
181.9994	12.8326	video2
194.832	4.0	affect_rating2
198.8443	0.1161	other
198.9603	4.0	compassion_rating2
202.9726	3.0175	other
205.9901	3.8796	question2
209.8697	1.0114	other
210.881	0.0166	other
210.8976	1.8072	other
212.7048	2.0061	other
214.8104	14.2916	video4
229.102	4.0	affect_rating4
233.1143	0.1161	other
233.2303	4.0	compassion_rating4
237.2426	1.4259	other
238.6684	8.2898	question4
246.9582	1.0114	other
247.9696	0.0166	other
247.9862	3.0175	other
251.0037	2.0061	other
253.1093	16.1982	video3
269.3075	4.0	affect_rating3
273.3198	0.1161	other
273.4358	4.0	compassion_rating3
277.4481	2.6196	other
280.0677	10.7104	question3
290.7781	1.0114	other
291.7895	2.0061	other
293.7956	1.8072	other
295.6028	2.0061	other
297.7084	15.1371	video3
312.8455	4.0	affect_rating3
316.8578	0.116	other
316.9739	4.0	compassion_rating3
320.9861	2.6196	other
323.6057	9.6991	question3
333.3048	1.0114	other
334.3161	1.2103	other
335.5264	2.2051	other
337.7315	2.0061	other
339.8371	14.9051	video1
354.7422	4.0	affect_rating1
358.7545	0.1161	other
358.8705	4.0	compassion_rating1
362.8828	1.8238	other
364.7065	5.9023	question1
370.6089	1.0114	other
371.6202	0.8124	other
372.4326	1.8072	other
374.2398	2.0061	other
376.3454	15.1703	video4
391.5157	4.0	affect_rating4
395.528	0.1161	other
395.644	4.0	compassion_rating4
399.6563	2.2051	other
401.8614	8.1903	question4
410.0517	1.0113	other
411.0631	1.2103	other
412.2734	3.0175	other
415.2909	2.0061	other
417.3965	15.6677	video2
433.0642	4.0	affect_rating2
437.0765	0.1161	other
437.1925	4.0	compassion_rating2
441.2048	1.0114	other
442.2161	11.7384	question2
453.9545	1.0114	other
454.9658	0.8124	other
455.7782	2.603	other
458.3812	2.0061	other
460.4869	13.0978	video1
473.5847	4.0	affect_rating1
477.597	0.116	other
477.713	4.0	compassion_rating1
481.7253	2.6196	other
484.3449	2.9014	question1
487.2463	1.0114	other
488.2577	2.0061	other
490.2638	1.0114	other
491.2752	2.0061	other
493.3808	16.2314	video1
509.6122	4.0	affect_rating1
513.6245	0.1161	other
513.7405	4.0	compassion_rating1
517.7528	1.4093	other
519.162	8.8369	question1
527.999	1.0113	other
529.0103	0.4145	other
529.4248	1.4093	other
530.8341	2.0061	other
532.9397	15.0874	video4
548.0271	4.0	affect_rating4
552.0394	0.1161	other
552.1554	4.0	compassion_rating4
556.1677	3.0175	other
559.1852	5.9189	question4
565.1041	1.0114	other
566.1155	1.2103	other
567.3258	2.2051	other
569.5309	2.0061	other
571.6365	16.7619	video4
588.3984	4.0	affect_rating4
592.4107	0.1161	other
592.5268	4.0	compassion_rating4
596.539	1.4093	other
597.9483	5.7034	question4
603.6517	1.0114	other
604.663	0.8124	other
605.4754	2.603	other
608.0784	2.0061	other
610.184	15.0377	video2
625.2217	4.0	affect_rating2
629.234	0.1161	other
629.3501	4.0	compassion_rating2
633.3623	2.2217	other
635.584	9.9975	question2
645.5815	1.0114	other
646.5928	1.6082	other
648.2011	1.0114	other
649.2124	2.0061	other
651.3346	16.5299	video3
667.8645	4.0	affect_rating3
671.8767	0.116	other
671.9928	4.0	compassion_rating3
676.0051	1.8072	other
677.8122	11.7218	question3
689.534	1.0114	other
690.5454	0.8124	other
691.3578	1.0114	other
692.3691	2.0061	other
694.4747	14.5569	video4
709.0316	4.0	affect_rating4
713.0439	0.1161	other
713.1599	4.0	compassion_rating4
717.1722	1.4093	other
718.5815	7.0629	question4
725.6444	1.0114	other
726.6557	0.4145	other
727.0702	1.8072	other
728.8774	2.0061	other
730.983	13.844	video4
744.827	4.0	affect_rating4
748.8392	0.116	other
748.9553	4.0	compassion_rating4
752.9676	1.8238	other
754.7913	12.501	question4
767.2923	1.0114	other
768.3037	1.2103	other
