onset	duration	trial_type
1.0331	3.3657	other
4.3988	49.9213	other
54.3201	3.0175	other
57.3376	2.0061	other
59.7073	16.2327	video2
75.94	4.0	affect_rating2
79.9523	0.1161	other
80.0683	4.0	compassion_rating2
84.0806	1.8238	other
85.9044	8.008	question2
93.9123	1.0114	other
94.9237	2.0061	other
96.9298	1.8072	other
98.737	2.0061	other
100.8426	14.2088	video1
115.0514	4.0	affect_rating1
119.0637	0.1161	other
119.1797	4.0	compassion_rating1
123.192	2.2051	other
125.3971	9.467	question1
134.8641	1.0114	other
135.8754	1.6082	other
137.4836	3.0175	other
140.5011	2.0061	other
142.6067	15.0544	video2
157.6611	4.0	affect_rating2
161.6733	0.1161	other
161.7894	4.0	compassion_rating2
165.8017	3.0175	other
168.8192	8.3396	question2
177.1587	1.0114	other
178.1701	0.8124	other
178.9825	3.0175	other
182.0	2.0061	other
184.1056	15.1206	video3
199.2262	4.0	affect_rating3
203.2385	0.1161	other
203.3546	4.0	compassion_rating3
207.3669	1.0279	other
208.3948	9.1686	question3
217.5633	1.0113	other
218.5747	0.0166	other
218.5913	1.0114	other
219.6026	2.0061	other
221.7082	14.4078	video3
236.116	4.0	affect_rating3
240.1282	0.1161	other
240.2443	4.0	compassion_rating3
244.2566	3.0175	other
247.2741	13.4461	question3
260.7202	1.0114	other
261.7315	0.8124	other
262.5439	3.0175	other
265.5614	2.0061	other
267.667	16.1652	video3
283.8322	4.0	affect_rating3
287.8445	0.1161	other
287.9605	4.0	compassion_rating3
291.9728	2.2217	other
294.1945	7.6764	question3
301.8709	1.0114	other
302.8822	1.2103	other
304.0925	1.4093	other
305.5018	2.0061	other
307.6074	14.3911	video2
321.9985	4.0	affect_rating2
326.0108	0.1161	other
326.1269	4.0	compassion_rating2
330.1392	3.0175	other
333.1567	13.6119	question2
346.7685	1.0114	other
347.7799	0.8124	other
348.5923	1.8072	other
350.3995	2.0061	other
352.5051	13.8109	video3
366.316	4.0	affect_rating3
370.3282	0.1161	other
370.4443	4.0	compassion_rating3
374.4566	1.4093	other
375.8658	7.809	question3
383.6748	1.0114	other
384.6862	0.0166	other
384.7028	2.603	other
387.3058	2.0061	other
389.4114	17.0936	video4
406.505	4.0	affect_rating4
410.5173	0.1161	other
410.6334	4.0	compassion_rating4
414.6456	1.0279	other
415.6736	7.4774	question4
423.151	1.0114	other
424.1624	1.6082	other
425.7706	1.8072	other
427.5778	2.0062	other
429.6834	15.6346	video2
445.318	4.0	affect_rating2
449.3303	0.1161	other
449.4463	4.0	compassion_rating2
453.4586	2.2217	other
455.6803	18.221	question2
473.9013	1.0114	other
474.9127	1.6082	other
476.5209	1.4093	other
477.9302	2.0061	other
480.0358	12.8492	video2
492.885	4.0	affect_rating2
496.8973	0.116	other
497.0133	4.0	compassion_rating2
501.0256	1.8238	other
502.8494	8.2732	question2
511.1226	1.0113	other
512.134	1.6082	other
513.7422	2.603	other
516.3452	2.0061	other
518.4508	13.0814	video1
531.5322	4.0	affect_rating1
535.5445	0.116	other
535.6605	4.0	compassion_rating1
539.6728	2.6196	other
542.2924	10.8763	question1
553.1686	1.0114	other
554.18	0.8124	other
554.9924	2.2051	other
557.1975	2.0061	other
559.3031	13.844	video4
573.1471	4.0	affect_rating4
577.1594	0.1161	other
577.2754	4.0	compassion_rating4
581.2877	1.8238	other
583.1115	14.9714	question4
598.0829	1.0114	other
599.0943	0.4145	other
599.5088	1.0114	other
600.5201	2.0061	other
602.6257	16.5299	video3
619.1556	4.0	affect_rating3
623.1679	0.1161	other
623.284	4.0	compassion_rating3
627.2963	1.8072	other
629.1034	9.4007	question3
638.5041	1.0114	other
639.5155	0.0166	other
639.532	1.4093	other
640.9413	2.0061	other
643.0469	14.2751	video1
657.322	4.0	affect_rating1
661.3343	0.1161	other
661.4503	4.0	compassion_rating1
665.4626	2.2217	other
667.6843	9.9644	question1
677.6487	1.0114	other
678.66	1.2103	other
679.8703	2.2051	other
682.0754	2.0061	other
684.1811	12.2855	video1
696.4666	4.0	affect_rating1
700.4788	0.1161	other
700.5949	4.0	compassion_rating1
704.6072	2.2217	other
706.8289	6.9966	question1
713.8255	1.0113	other
714.8368	1.2103	other
716.0471	3.0175	other
719.0646	2.0061	other
721.1703	13.3632	video2
734.5335	4.0	affect_rating2
738.5457	0.1161	other
738.6618	4.0	compassion_rating2
742.6741	3.0175	other
745.6916	7.809	question2
753.5006	1.0114	other
754.5119	0.4145	other
754.9264	1.4093	other
756.3357	2.0061	other
758.4413	14.043	video4
772.4843	4.0	affect_rating4
776.4966	0.1161	other
776.6126	4.0	compassion_rating4
780.6249	1.0114	other
781.6363	14.8056	question4
796.4419	1.0114	other
797.4532	0.0166	other
797.4698	1.8072	other
799.277	2.0061	other
801.3826	16.646	video2
818.0286	4.0	affect_rating2
822.0409	0.116	other
822.1569	4.0	compassion_rating2
826.1692	1.0279	other
827.1971	16.0657	question2
843.2628	1.0114	other
844.2742	0.8124	other
845.0866	2.603	other
847.6896	2.0061	other
849.7952	15.6844	video3
865.4796	4.0	affect_rating3
869.4918	0.1161	other
869.6079	4.0	compassion_rating3
873.6202	2.6196	other
876.2398	10.8928	question3
887.1326	1.0114	other
888.1439	2.0061	other
890.1501	1.0114	other
891.1615	2.0061	other
893.2671	14.8885	video1
908.1556	4.0	affect_rating1
912.1679	0.116	other
912.2839	4.0	compassion_rating1
916.2962	1.4093	other
917.7055	10.1468	question1
927.8522	1.0114	other
928.8636	1.6082	other
930.4718	2.2051	other
932.6769	2.0061	other
934.7825	15.4025	video2
950.185	4.0	affect_rating2
954.1973	0.1161	other
954.3134	4.0	compassion_rating2
958.3256	3.0175	other
961.3431	10.4452	question2
971.7883	1.0114	other
972.7997	0.0166	other
972.8162	1.4093	other
974.2255	2.0061	other
976.3311	15.071	video4
991.4021	4.0	affect_rating4
995.4143	0.116	other
995.5304	4.0	compassion_rating4
999.5427	1.0114	other
1000.554	7.6432	question4
1008.1972	1.0114	other
1009.2086	0.4145	other
1009.6231	1.4093	other
1011.0324	2.0061	other
1013.138	14.6564	video4
1027.7944	4.0	affect_rating4
1031.8067	0.1161	other
1031.9227	4.0	compassion_rating4
1035.935	2.2217	other
1038.1567	8.7541	question4
1046.9107	1.0114	other
1047.9221	2.0061	other
1049.9282	2.2051	other
1052.1333	2.0061	other
1054.2389	17.2761	video1
1071.515	4.0	affect_rating1
1075.5272	0.1161	other
1075.6433	4.0	compassion_rating1
1079.6556	1.0279	other
1080.6835	12.9985	question1
1093.6819	1.0114	other
1094.6933	1.2103	other
1095.9036	1.8072	other
1097.7108	2.0062	other
1099.8164	14.1259	video3
1113.9423	4.0	affect_rating3
1117.9546	0.1161	other
1118.0706	4.0	compassion_rating3
1122.0829	2.6196	other
1124.7025	13.5456	question3
1138.2481	1.0114	other
1139.2594	2.0061	other
1141.2656	1.8072	other
1143.0727	2.0061	other
1145.1784	16.2149	video3
1161.3933	4.0	affect_rating3
1165.4055	0.116	other
1165.5216	4.0	compassion_rating3
1169.5339	1.4259	other
1170.9597	11.8876	question3
1182.8473	1.0114	other
1183.8587	0.0166	other
1183.8753	1.0113	other
1184.8866	2.0061	other
1186.9923	15.9164	video4
1202.9087	4.0	affect_rating4
1206.921	0.1161	other
1207.0371	4.0	compassion_rating4
1211.0493	3.0175	other
1214.0668	10.5281	question4
1224.5949	1.0114	other
1225.6063	0.8124	other
1226.4187	2.2051	other
1228.6238	2.0061	other
1230.7294	15.4191	video2
1246.1485	4.0	affect_rating2
1250.1607	0.1161	other
1250.2768	4.0	compassion_rating2
1254.2891	1.4093	other
1255.6984	14.3082	question2
1270.0066	1.0114	other
1271.018	1.2103	other
1272.2283	1.4093	other
1273.6376	2.0061	other
1275.7432	14.5735	video4
1290.3167	4.0	affect_rating4
1294.329	0.1161	other
1294.445	4.0	compassion_rating4
1298.4573	1.8238	other
1300.2811	8.9364	question4
1309.2175	1.0114	other
1310.2289	0.4145	other
1310.6434	2.2051	other
1312.8484	2.0061	other
1314.9541	14.6895	video3
1329.6436	4.0	affect_rating3
1333.6559	0.1161	other
1333.772	4.0	compassion_rating3
1337.7842	2.6196	other
1340.4038	13.9601	question3
1354.3639	1.0114	other
1355.3753	1.2103	other
1356.5856	1.8072	other
1358.3928	2.0061	other
1360.4984	16.762	video4
1377.2604	4.0	affect_rating4
1381.2727	0.1161	other
1381.3888	4.0	compassion_rating4
1385.401	1.4093	other
1386.8103	7.2453	question4
1394.0556	1.0114	other
1395.067	0.8124	other
1395.8794	2.2051	other
1398.0845	2.0061	other
1400.1901	13.8771	video1
1414.0672	4.0	affect_rating1
1418.0795	0.1161	other
1418.1956	4.0	compassion_rating1
1422.2079	1.8238	other
1424.0316	11.9373	question1
1435.969	1.0114	other
1436.9803	1.6082	other
1438.5886	1.4093	other
1439.9978	2.0061	other
1442.1034	16.2315	video1
1458.3349	4.0	affect_rating1
1462.3472	0.1161	other
1462.4633	4.0	compassion_rating1
1466.4756	1.0114	other
1467.4869	9.1851	question1
1476.672	1.0114	other
1477.6834	0.8124	other
