	onset	duration	trial_type
4	59.2943	13.5788	video
14	97.5437	14.8886	video
24	138.2304	13.7612	video
34	180.8237	15.1539	video
44	224.0637	15.9331	video
54	262.9763	14.126	video
64	304.7904	12.3188	video
74	342.8907	16.8947	video
84	384.2239	14.7229	video
94	427.6131	13.1643	video
104	466.1776	14.9052	video
114	506.4	14.0431	video
124	550.2203	16.6461	video
134	597.5223	15.4357	video
144	641.6078	14.8886	video
154	680.2386	13.2638	video
164	718.4549	15.8502	video
174	759.0089999999999	14.2751	video
184	797.7227	14.2088	video
194	848.4069	13.3467	video
204	887.0211	16.215	video
214	929.1171	15.1207	video
224	970.898	14.3747	video
234	1012.8614	14.6399	video
244	1053.8962	15.6347	video
254	1099.6066	16.215	video
264	1143.4931	16.5466	video
274	1184.3456	14.5571	video
284	1223.2417	14.4078	video
294	1262.5357	15.0544	video
304	1305.7259	13.1478	video
314	1342.7154	16.1652	video
324	1381.4622	12.8328	video
334	1418.4516	17.0938	video
344	1460.9124	14.7062	video
354	1500.9193	15.4026	video
364	1542.3023	17.3093	video
374	1582.7569	13.8607	video
384	1624.5876	14.242	video
394	1664.8432	13.811	video
404	1700.6223	12.667	video
414	1740.6956	16.7787	video
424	1780.7025	15.071	video
434	1818.5375	16.2482	video
444	1860.5506	15.6844	video
454	1900.6404	14.2917	video
464	1941.7084	16.5632	video
474	1986.2748	13.8773	video
484	138.2304	13.7612	tom
485	180.8237	15.1539	emotion
486	180.8237	15.1539	tom
487	224.0637	15.9331	emotion
488	224.0637	15.9331	tom
489	262.9763	14.126	emotion
490	342.8907	16.8947	tom
491	384.2239	14.7229	emotion
492	427.6131	13.1643	emotion
493	506.4	14.0431	emotion
494	506.4	14.0431	tom
495	550.2203	16.6461	tom
496	597.5223	15.4357	tom
497	680.2386	13.2638	emotion
498	680.2386	13.2638	tom
499	718.4549	15.8502	emotion
500	718.4549	15.8502	tom
501	759.0089999999999	14.2751	emotion
502	848.4069	13.3467	tom
503	887.0211	16.215	tom
504	929.1171	15.1207	emotion
505	970.898	14.3747	emotion
506	1012.8614	14.6399	emotion
507	1012.8614	14.6399	tom
508	1053.8962	15.6347	tom
509	1099.6066	16.215	emotion
510	1143.4931	16.5466	emotion
511	1184.3456	14.5571	emotion
512	1184.3456	14.5571	tom
513	1223.2417	14.4078	tom
514	1262.5357	15.0544	tom
515	1342.7154	16.1652	emotion
516	1381.4622	12.8328	tom
517	1418.4516	17.0938	emotion
518	1418.4516	17.0938	tom
519	1460.9124	14.7062	emotion
520	1500.9193	15.4026	tom
521	1582.7569	13.8607	emotion
522	1582.7569	13.8607	tom
523	1664.8432	13.811	emotion
524	1700.6223	12.667	tom
525	1740.6956	16.7787	emotion
526	1740.6956	16.7787	tom
527	1780.7025	15.071	emotion
528	1780.7025	15.071	tom
529	1860.5506	15.6844	emotion
530	1900.6404	14.2917	emotion
531	1900.6404	14.2917	tom
