	onset	duration	trial_type
4	51.7336	14.6895	video
14	88.6398	14.6729	video
24	124.4186	14.3745	video
34	160.7279	13.7611	video
44	201.6464	15.1206	video
54	241.8519	12.6834	video
64	275.4588	16.8946	video
74	313.3432	16.6294	video
84	353.7477	14.1093	video
94	390.2229	14.8885	video
104	425.869	13.5622	video
114	462.9908	15.4025	video
124	502.185	14.2751	video
134	541.6776	16.1983	video
144	579.96	13.0813	video
154	613.0529	15.933	video
164	650.7052	13.844000000000001	video
174	690.0319999999999	13.3632	video
184	730.4034	16.563	video
194	769.2992	15.1703	video
204	808.1618	14.2584	video
214	845.0846	14.6398	video
224	882.4716	14.4243	video
234	918.8473	12.8492	video
244	956.5328	17.2759	video
254	997.9984	15.7009	video
264	1038.4527	14.1921	video
274	1073.8489	15.669	video
284	1113.1936	17.1267	video
294	1151.6583	14.905	video
304	1190.239	13.8938	video
314	1224.7412	13.1642	video
324	1260.5698	14.275	video
334	1299.8137	15.8502	video
344	1343.2523	15.0543	video
354	1384.5522	12.2855	video
364	1422.934	14.8885	video
374	1463.7696	16.5299	video
384	1506.1637	14.59	video
394	1543.9155	15.0874	video
404	1581.9823	16.248	video
414	1623.9453	15.419	video
424	1663.2224	13.2471	video
434	1702.1182	16.1983	video
444	1740.0855	16.2314	video
454	1781.9656	14.0264	video
464	1820.364	13.8108	video
474	1855.861	16.7619	video
484	51.7336	14.6895	emotion
485	88.6398	14.6729	emotion
486	124.4186	14.3745	emotion
487	160.7279	13.7611	tom
488	201.6464	15.1206	emotion
489	241.8519	12.6834	tom
490	275.4588	16.8946	tom
491	313.3432	16.6294	tom
492	353.7477	14.1093	emotion
493	462.9908	15.4025	tom
494	502.185	14.2751	emotion
495	541.6776	16.1983	emotion
496	613.0529	15.933	emotion
497	613.0529	15.933	tom
498	650.7052	13.844000000000001	emotion
499	650.7052	13.844000000000001	tom
500	690.0319999999999	13.3632	tom
501	769.2992	15.1703	emotion
502	769.2992	15.1703	tom
503	845.0846	14.6398	emotion
504	845.0846	14.6398	tom
505	882.4716	14.4243	tom
506	918.8473	12.8492	tom
507	997.9984	15.7009	emotion
508	1073.8489	15.669	tom
509	1113.1936	17.1267	emotion
510	1113.1936	17.1267	tom
511	1224.7412	13.1642	emotion
512	1260.5698	14.275	emotion
513	1260.5698	14.275	tom
514	1299.8137	15.8502	emotion
515	1299.8137	15.8502	tom
516	1343.2523	15.0543	tom
517	1463.7696	16.5299	emotion
518	1506.1637	14.59	emotion
519	1506.1637	14.59	tom
520	1543.9155	15.0874	emotion
521	1543.9155	15.0874	tom
522	1623.9453	15.419	tom
523	1663.2224	13.2471	emotion
524	1663.2224	13.2471	tom
525	1702.1182	16.1983	emotion
526	1740.0855	16.2314	tom
527	1781.9656	14.0264	emotion
528	1781.9656	14.0264	tom
529	1820.364	13.8108	emotion
530	1855.861	16.7619	emotion
531	1855.861	16.7619	tom
