	onset	duration	trial_type
4	48.3345	14.2086	video
14	87.9263	12.8491	video
24	125.6613	16.7619	video
34	169.0167	15.4024	video
44	207.9951	17.2924	video
54	253.3069	13.1144	video
64	290.4118	16.1651	video
74	329.2079	14.0428	video
84	374.0057	15.4024	video
94	414.8908	13.1642	video
104	451.2165	16.1982	video
114	494.4228	13.363	video
124	536.7171	12.6833	video
134	575.7121	15.1537	video
144	615.3371	14.3081	video
154	653.6524	14.6729	video
164	695.3167	16.9277	video
174	736.5002	15.0874	video
184	776.4734	16.6459	video
194	818.8838	14.706	video
204	859.2052	13.562000000000001	video
214	897.6034	16.5297	video
224	937.2284	13.761	video
234	976.2566	12.2854	video
244	1011.4549	13.8605	video
254	1048.5764	13.247	video
264	1085.1343	14.8883	video
274	1127.3125	14.8719	video
284	1165.661	14.2749	video
294	1205.3026	17.0935	video
304	1249.9678	15.8832	video
314	1289.6094	14.8718	video
324	1327.8086	14.6397	video
334	1364.781	14.1257	video
344	1405.1355	14.5568	video
354	1442.4063	14.4075	video
364	1480.2739	15.9163	video
374	1519.0036	15.1371	video
384	1563.3373	15.0873	video
394	1601.1386	16.5629	video
404	1646.0193	14.3744	video
414	1688.496	16.2645	video
424	1730.5583	16.1981	video
434	1773.035	15.6842	video
444	1813.6216	13.8108	video
454	1854.1751	14.2253	video
464	1891.7443	15.6511	video
474	1932.2647	13.8936	video
484	87.9263	12.8491	tom
485	125.6613	16.7619	emotion
486	125.6613	16.7619	tom
487	169.0167	15.4024	tom
488	290.4118	16.1651	emotion
489	329.2079	14.0428	emotion
490	329.2079	14.0428	tom
491	374.0057	15.4024	tom
492	414.8908	13.1642	emotion
493	451.2165	16.1982	emotion
494	494.4228	13.363	tom
495	536.7171	12.6833	tom
496	575.7121	15.1537	emotion
497	575.7121	15.1537	tom
498	615.3371	14.3081	emotion
499	653.6524	14.6729	emotion
500	695.3167	16.9277	tom
501	736.5002	15.0874	tom
502	776.4734	16.6459	tom
503	818.8838	14.706	emotion
504	897.6034	16.5297	emotion
505	937.2284	13.761	tom
506	1011.4549	13.8605	emotion
507	1011.4549	13.8605	tom
508	1048.5764	13.247	emotion
509	1048.5764	13.247	tom
510	1165.661	14.2749	emotion
511	1165.661	14.2749	tom
512	1205.3026	17.0935	emotion
513	1205.3026	17.0935	tom
514	1249.9678	15.8832	emotion
515	1249.9678	15.8832	tom
516	1327.8086	14.6397	emotion
517	1327.8086	14.6397	tom
518	1364.781	14.1257	emotion
519	1405.1355	14.5568	emotion
520	1405.1355	14.5568	tom
521	1442.4063	14.4075	tom
522	1480.2739	15.9163	emotion
523	1480.2739	15.9163	tom
524	1519.0036	15.1371	emotion
525	1563.3373	15.0873	emotion
526	1563.3373	15.0873	tom
527	1646.0193	14.3744	emotion
528	1730.5583	16.1981	tom
529	1773.035	15.6842	emotion
530	1813.6216	13.8108	emotion
531	1891.7443	15.6511	tom
