	onset	duration	trial_type
4	72.4245	14.5734	video
14	110.1097	16.8779	video
24	149.2539	14.2915	video
34	188.5307	14.275	video
44	229.0013	14.3744	video
54	266.3383	16.563	video
64	306.7592	13.7776	video
74	344.3118	13.1641	video
84	383.3897	13.8107	video
94	421.7878	16.7619	video
104	460.2523	15.6345	video
114	503.6077	13.8771	video
124	543.3654	13.0812	video
134	580.5698	14.1423	video
144	617.6084	15.9164	video
154	656.5371	16.6458	video
164	703.8053	15.1039	video
174	749.1337	14.7226	video
184	788.1784	16.2314	video
194	827.4553	14.0263	video
204	871.6728	15.1537	video
214	911.1818	14.390999999999998	video
224	951.0224	15.0542	video
234	995.8865	15.4024	video
244	1034.4173	16.5298	video
254	1074.0589	17.2925	video
264	1117.2486	17.1266	video
274	1166.1581	14.6397	video
284	1206.5127	15.85	video
294	1245.0766	12.3186	video
304	1277.7548	13.5621	video
314	1316.3519	14.6895	video
324	1351.2021	13.8439	video
334	1388.1412	15.1703	video
344	1430.6014	14.8718	video
354	1468.5353	12.6833	video
364	1507.2485	16.1982	video
374	1551.2837	16.2147	video
384	1593.0309	14.2915	video
394	1630.8488	16.1816	video
404	1669.0646	15.4023	video
414	1708.3746	14.8884	video
424	1749.7405	13.3631	video
434	1788.2381	13.2305	video
444	1828.9408	15.7008	video
454	1871.6496	12.8492	video
464	1910.3794	14.8884	video
474	1951.795	14.2087	video
484	72.4245	14.5734	emotion
485	72.4245	14.5734	tom
486	110.1097	16.8779	tom
487	149.2539	14.2915	emotion
488	149.2539	14.2915	tom
489	229.0013	14.3744	emotion
490	306.7592	13.7776	tom
491	344.3118	13.1641	emotion
492	383.3897	13.8107	emotion
493	421.7878	16.7619	emotion
494	421.7878	16.7619	tom
495	460.2523	15.6345	tom
496	580.5698	14.1423	emotion
497	617.6084	15.9164	emotion
498	617.6084	15.9164	tom
499	656.5371	16.6458	tom
500	703.8053	15.1039	emotion
501	703.8053	15.1039	tom
502	749.1337	14.7226	emotion
503	827.4553	14.0263	emotion
504	827.4553	14.0263	tom
505	871.6728	15.1537	emotion
506	911.1818	14.390999999999998	tom
507	951.0224	15.0542	tom
508	995.8865	15.4024	tom
509	1034.4173	16.5298	emotion
510	1117.2486	17.1266	emotion
511	1117.2486	17.1266	tom
512	1166.1581	14.6397	emotion
513	1166.1581	14.6397	tom
514	1206.5127	15.85	emotion
515	1206.5127	15.85	tom
516	1316.3519	14.6895	emotion
517	1351.2021	13.8439	emotion
518	1351.2021	13.8439	tom
519	1388.1412	15.1703	emotion
520	1388.1412	15.1703	tom
521	1468.5353	12.6833	tom
522	1507.2485	16.1982	tom
523	1551.2837	16.2147	emotion
524	1593.0309	14.2915	emotion
525	1630.8488	16.1816	emotion
526	1669.0646	15.4023	tom
527	1749.7405	13.3631	tom
528	1788.2381	13.2305	emotion
529	1788.2381	13.2305	tom
530	1828.9408	15.7008	emotion
531	1871.6496	12.8492	tom
