	onset	duration	trial_type
4	57.9676	16.2481	video
14	99.3173	16.5631	video
24	145.04399999999998	13.2471	video
34	188.1013	14.4077	video
44	232.3524	14.8885	video
54	272.4089	16.5133	video
64	312.4985	15.8501	video
74	349.869	13.5622	video
84	389.2788	16.1984	video
94	429.7664	14.8885	video
104	472.774	14.6564	video
114	512.9796	16.7621	video
124	555.092	16.6293	video
134	599.6083	14.6896	video
144	641.5051	15.1372	video
154	681.8268	12.8327	video
164	721.9496	15.9331	video
174	763.1169	16.8781	video
184	803.7702	14.673	video
194	841.2237	14.1258	video
204	880.7496	16.1983	video
214	924.0556	15.6346	video
224	965.9193	15.419	video
234	1004.1519	15.4025	video
244	1043.396	13.1643	video
254	1082.0929	12.6835	video
264	1115.4844	14.275	video
274	1152.3244	13.8108	video
284	1188.1033	13.0813	video
294	1224.8935	14.2917	video
304	1262.0651	13.844000000000001	video
314	1305.8354	17.0771	video
324	1345.3945	14.8885	video
334	1381.3558	14.2419	video
344	1423.2028	15.1704	video
354	1464.2043	17.276	video
364	1504.3271	16.1652	video
374	1543.4551	14.5569	video
384	1581.7873	15.6843	video
394	1620.6168	14.1922	video
404	1657.3739	13.8938	video
414	1694.4129	15.0543	video
424	1738.6474	15.1207	video
434	1776.3827	14.043	video
444	1814.7149	14.357999999999999	video
454	1855.0201	12.2855	video
464	1890.4674	13.7943	video
474	1929.3301	13.3632	video
484	145.04399999999998	13.2471	emotion
485	145.04399999999998	13.2471	tom
486	188.1013	14.4077	tom
487	272.4089	16.5133	emotion
488	312.4985	15.8501	emotion
489	312.4985	15.8501	tom
490	389.2788	16.1984	tom
491	472.774	14.6564	emotion
492	472.774	14.6564	tom
493	512.9796	16.7621	emotion
494	512.9796	16.7621	tom
495	555.092	16.6293	tom
496	599.6083	14.6896	emotion
497	641.5051	15.1372	emotion
498	681.8268	12.8327	tom
499	721.9496	15.9331	emotion
500	721.9496	15.9331	tom
501	763.1169	16.8781	tom
502	803.7702	14.673	emotion
503	841.2237	14.1258	emotion
504	880.7496	16.1983	emotion
505	924.0556	15.6346	tom
506	965.9193	15.419	tom
507	1004.1519	15.4025	tom
508	1043.396	13.1643	emotion
509	1082.0929	12.6835	tom
510	1115.4844	14.275	emotion
511	1115.4844	14.275	tom
512	1152.3244	13.8108	emotion
513	1224.8935	14.2917	emotion
514	1262.0651	13.844000000000001	emotion
515	1262.0651	13.844000000000001	tom
516	1305.8354	17.0771	emotion
517	1305.8354	17.0771	tom
518	1423.2028	15.1704	emotion
519	1423.2028	15.1704	tom
520	1504.3271	16.1652	emotion
521	1543.4551	14.5569	emotion
522	1543.4551	14.5569	tom
523	1581.7873	15.6843	emotion
524	1694.4129	15.0543	tom
525	1738.6474	15.1207	emotion
526	1738.6474	15.1207	tom
527	1776.3827	14.043	emotion
528	1776.3827	14.043	tom
529	1814.7149	14.357999999999999	emotion
530	1890.4674	13.7943	tom
531	1929.3301	13.3632	tom
