	onset	duration	trial_type
4	59.7073	16.2327	video
14	100.8426	14.2088	video
24	142.6067	15.0544	video
34	184.1056	15.1206	video
44	221.7082	14.4078	video
54	267.66700000000003	16.1652	video
64	307.6074	14.3911	video
74	352.5051	13.8109	video
84	389.4114	17.0936	video
94	429.6834	15.6346	video
104	480.0358	12.8492	video
114	518.4508	13.0814	video
124	559.3031	13.844000000000001	video
134	602.6257	16.5299	video
144	643.0469	14.2751	video
154	684.1811	12.2855	video
164	721.1703	13.3632	video
174	758.4413	14.043	video
184	801.3826	16.646	video
194	849.7952	15.6844	video
204	893.2671	14.8885	video
214	934.7825	15.4025	video
224	976.3311	15.071	video
234	1013.138	14.6564	video
244	1054.2389	17.2761	video
254	1099.8164	14.1259	video
264	1145.1784	16.2149	video
274	1186.9923	15.9164	video
284	1230.7294	15.4191	video
294	1275.7432	14.5735	video
304	1314.9541	14.6895	video
314	1360.4984	16.762	video
324	1400.1901	13.8771	video
334	1442.1034	16.2315	video
344	1481.6128	14.2916	video
354	1522.1998	15.8501	video
364	1561.477	13.5621	video
374	1603.6059	14.8719	video
384	1642.4023	13.2471	video
394	1685.3270000000002	15.1704	video
404	1726.5938	14.2917	video
414	1773.9784	16.5797	video
424	1818.9425	14.7061	video
434	1863.4257	12.6834	video
444	1901.0284	16.8781	video
454	1941.0682	14.9052	video
464	1984.9546	13.1974	video
474	2024.2815	13.7446	video
484	59.7073	16.2327	tom
485	142.6067	15.0544	tom
486	184.1056	15.1206	emotion
487	221.7082	14.4078	emotion
488	267.66700000000003	16.1652	emotion
489	307.6074	14.3911	tom
490	352.5051	13.8109	emotion
491	389.4114	17.0936	emotion
492	389.4114	17.0936	tom
493	429.6834	15.6346	tom
494	480.0358	12.8492	tom
495	559.3031	13.844000000000001	emotion
496	559.3031	13.844000000000001	tom
497	602.6257	16.5299	emotion
498	721.1703	13.3632	tom
499	758.4413	14.043	emotion
500	758.4413	14.043	tom
501	801.3826	16.646	tom
502	849.7952	15.6844	emotion
503	934.7825	15.4025	tom
504	976.3311	15.071	emotion
505	976.3311	15.071	tom
506	1013.138	14.6564	emotion
507	1013.138	14.6564	tom
508	1099.8164	14.1259	emotion
509	1145.1784	16.2149	emotion
510	1186.9923	15.9164	emotion
511	1186.9923	15.9164	tom
512	1230.7294	15.4191	tom
513	1275.7432	14.5735	emotion
514	1275.7432	14.5735	tom
515	1314.9541	14.6895	emotion
516	1360.4984	16.762	emotion
517	1360.4984	16.762	tom
518	1481.6128	14.2916	emotion
519	1481.6128	14.2916	tom
520	1522.1998	15.8501	emotion
521	1522.1998	15.8501	tom
522	1642.4023	13.2471	emotion
523	1642.4023	13.2471	tom
524	1685.3270000000002	15.1704	emotion
525	1685.3270000000002	15.1704	tom
526	1726.5938	14.2917	emotion
527	1818.9425	14.7061	emotion
528	1863.4257	12.6834	tom
529	1901.0284	16.8781	tom
530	1984.9546	13.1974	emotion
531	2024.2815	13.7446	tom
