onset	duration	trial_type
1.0331	0.9285	other
1.9616	41.5978	other
43.5594	1.8072	other
45.3666	2.0061	other
47.7209	13.247	video4
60.9679	4.0	affect_rating4
64.9801	0.1161	other
65.0962	4.0	compassion_rating4
69.1084	1.4258	other
70.5342	5.5707	question4
76.1049	1.0113	other
77.1163	0.8124	other
77.9286	2.603	other
80.5316	2.0061	other
82.6372	16.1981	video3
98.8353	4.0	affect_rating3
102.8476	0.1161	other
102.9636	4.0	compassion_rating3
106.9759	1.8237	other
108.7996	8.24	question3
117.0396	1.0113	other
118.0509	0.0166	other
118.0675	1.0113	other
119.0789	2.0061	other
121.1845	15.6841	video3
136.8686	4.0	affect_rating3
140.8808	0.116	other
140.9969	4.0	compassion_rating3
145.0091	1.4258	other
146.435	5.2391	question3
151.6741	1.0113	other
152.6854	1.6082	other
154.2936	1.8072	other
156.1008	2.0061	other
158.2064	14.8883	video1
173.0947	4.0	affect_rating1
177.107	0.1161	other
177.223	4.0	compassion_rating1
181.2352	2.2217	other
183.4569	5.2225	question1
188.6794	1.0113	other
189.6908	0.4145	other
190.1052	3.0175	other
193.1227	2.0061	other
195.2283	12.8491	video2
208.0774	4.0	affect_rating2
212.0896	0.1161	other
212.2057	4.0	compassion_rating2
216.2179	1.0114	other
217.2292	6.9799	question2
224.2092	1.0113	other
225.2205	0.8124	other
226.0329	2.603	other
228.6359	2.0061	other
230.7415	15.4023	video2
246.1438	4.0	affect_rating2
250.156	0.1161	other
250.2721	4.0	compassion_rating2
254.2843	1.4258	other
255.7101	14.1257	question2
269.8358	1.0114	other
270.8472	0.8124	other
271.6596	2.603	other
274.2626	2.0061	other
276.3682	13.8106	video3
290.1788	4.0	affect_rating3
294.1911	0.1161	other
294.3071	4.0	compassion_rating3
298.3194	1.0113	other
299.3307	6.4826	question3
305.8133	1.0113	other
306.8246	2.0061	other
308.8307	1.0113	other
309.8421	2.0061	other
311.9477	14.3744	video3
326.3221	4.0	affect_rating3
330.3343	0.1161	other
330.4504	4.0	compassion_rating3
334.4626	1.0113	other
335.4739	6.1841	question3
341.6581	1.0113	other
342.6694	0.0166	other
342.686	1.8072	other
344.4932	2.0061	other
346.5987	14.1092	video3
360.7079	4.0	affect_rating3
364.7201	0.1161	other
364.8361	4.0	compassion_rating3
368.8484	3.0175	other
371.8658	6.7478	question3
378.6137	1.0114	other
379.625	0.0166	other
379.6416	3.0175	other
382.6591	2.0061	other
384.7647	14.3909	video2
399.1556	4.0	affect_rating2
403.1679	0.1161	other
403.2839	4.0	compassion_rating2
407.2961	3.0175	other
410.3136	8.2234	question2
418.537	1.0114	other
419.5484	1.6082	other
421.1566	1.4092	other
422.5658	2.0061	other
424.6714	15.85	video4
440.5214	4.0	affect_rating4
444.5336	0.116	other
444.6497	4.0	compassion_rating4
448.6619	1.0279	other
449.6898	10.0306	question4
459.7204	1.0114	other
460.7317	1.2103	other
461.942	1.4093	other
463.3513	2.0061	other
465.4569	16.165	video3
481.6219	4.0	affect_rating3
485.6341	0.1161	other
485.7501	4.0	compassion_rating3
489.7624	2.6196	other
492.3819	4.3936	question3
496.7755	1.0114	other
497.7868	1.2103	other
498.9971	1.8072	other
500.8043	2.0061	other
502.9099	15.651	video2
518.5609	4.0	affect_rating2
522.5731	0.1161	other
522.6892	4.0	compassion_rating2
526.7014	1.0113	other
527.7128	8.4555	question2
536.1683	1.0113	other
537.1796	0.8124	other
537.992	1.4093	other
539.4013	2.0061	other
541.5069	17.2924	video1
558.7993	4.0	affect_rating1
562.8115	0.116	other
562.9275	4.0	compassion_rating1
566.9398	2.6195	other
569.5593	5.0899	question1
574.6492	1.0113	other
575.6606	2.0061	other
577.6667	1.0113	other
578.678	2.0061	other
580.7836	16.5297	video3
597.3133	4.0	affect_rating3
601.3256	0.1161	other
601.4416	4.0	compassion_rating3
605.4539	3.0175	other
608.4713	9.7653	question3
618.2366	1.0113	other
619.248	0.4145	other
619.6624	2.2051	other
621.8675	2.0061	other
623.9731	14.5568	video4
638.5299	4.0	affect_rating4
642.5421	0.1161	other
642.6582	4.0	compassion_rating4
646.6704	1.4258	other
648.0962	9.5166	question4
657.6128	1.0114	other
658.6242	0.0166	other
658.6408	3.0175	other
661.6582	2.0061	other
663.7638	15.0376	video2
678.8014	4.0	affect_rating2
682.8136	0.1161	other
682.9297	4.0	compassion_rating2
686.9419	3.0175	other
689.9594	9.384	question2
699.3434	1.0113	other
700.3547	1.2103	other
701.565	3.0175	other
704.5825	2.0061	other
706.688	13.1973	video3
719.8853	4.0	affect_rating3
723.8975	0.1161	other
724.0136	4.0	compassion_rating3
728.0258	2.2216	other
730.2475	12.1362	question3
742.3836	1.0113	other
743.395	1.6082	other
745.0032	1.0113	other
746.0145	2.0061	other
748.1201	16.6624	video2
