	onset	duration	trial_type
4	47.7209	13.247	video
14	82.6372	16.1981	video
24	121.1845	15.6841	video
34	158.2064	14.8883	video
44	195.2283	12.8491	video
54	230.7415	15.4023	video
64	276.3682	13.8106	video
74	311.9477	14.3744	video
84	346.5987	14.1092	video
94	384.7647	14.3909	video
104	424.6714	15.85	video
114	465.4569	16.165	video
124	502.9099	15.651	video
134	541.5069	17.2924	video
144	580.7836	16.5297	video
154	623.9731	14.5568	video
164	663.7638	15.0376	video
174	706.688	13.1973	video
184	748.1201	16.6624	video
194	791.9231	15.4189	video
204	832.5262	16.2644	video
214	872.2506	14.7225	video
224	914.2629	14.2086	video
234	953.9873	16.7619	video
244	993.6619999999999	14.8883	video
254	1029.5068	14.3081	video
264	1070.5575	14.2418	video
274	1113.4983	13.0812	video
284	1151.1337	14.8884	video
294	1189.4157	13.8439	video
304	1229.853	15.0873	video
314	1268.6324	12.6833	video
324	1309.6666	16.5629	video
334	1359.9355	12.2854	video
344	1395.3161	14.7225	video
354	1443.496	14.6397	video
364	1482.5241	15.2033	video
374	1523.3759	16.8779	video
384	1561.2599	15.1205	video
394	1598.2321	15.9495	video
404	1643.1625	17.0768	video
414	1681.7097	13.562000000000001	video
424	1718.0519	16.2148	video
434	1769.9291	13.7609	video
444	1811.2617	14.0428	video
454	1846.8578	14.2915	video
464	1887.2454	13.9102	video
474	1922.7752	13.363	video
484	47.7209	13.247	emotion
485	47.7209	13.247	tom
486	82.6372	16.1981	emotion
487	121.1845	15.6841	emotion
488	195.2283	12.8491	tom
489	230.7415	15.4023	tom
490	276.3682	13.8106	emotion
491	311.9477	14.3744	emotion
492	346.5987	14.1092	emotion
493	384.7647	14.3909	tom
494	424.6714	15.85	emotion
495	424.6714	15.85	tom
496	465.4569	16.165	emotion
497	502.9099	15.651	tom
498	580.7836	16.5297	emotion
499	623.9731	14.5568	emotion
500	623.9731	14.5568	tom
501	663.7638	15.0376	tom
502	706.688	13.1973	emotion
503	748.1201	16.6624	tom
504	791.9231	15.4189	tom
505	872.2506	14.7225	emotion
506	953.9873	16.7619	emotion
507	953.9873	16.7619	tom
508	1029.5068	14.3081	emotion
509	1029.5068	14.3081	tom
510	1189.4157	13.8439	emotion
511	1189.4157	13.8439	tom
512	1229.853	15.0873	emotion
513	1229.853	15.0873	tom
514	1268.6324	12.6833	tom
515	1395.3161	14.7225	emotion
516	1443.496	14.6397	emotion
517	1443.496	14.6397	tom
518	1482.5241	15.2033	emotion
519	1482.5241	15.2033	tom
520	1523.3759	16.8779	tom
521	1561.2599	15.1205	emotion
522	1598.2321	15.9495	emotion
523	1598.2321	15.9495	tom
524	1643.1625	17.0768	emotion
525	1643.1625	17.0768	tom
526	1718.0519	16.2148	tom
527	1769.9291	13.7609	tom
528	1811.2617	14.0428	emotion
529	1811.2617	14.0428	tom
530	1846.8578	14.2915	emotion
531	1922.7752	13.363	tom
