	onset	duration	trial_type
4	61.8637	14.3911	video
14	100.9583	14.2916	video
24	141.197	15.933	video
34	181.9994	12.8326	video
44	214.8104	14.2916	video
54	253.1093	16.1982	video
64	297.7084	15.1371	video
74	339.8371	14.9051	video
84	376.3454	15.1703	video
94	417.3965	15.6677	video
104	460.4869	13.0978	video
114	493.3808	16.2314	video
124	532.9397	15.0874	video
134	571.6365	16.7619	video
144	610.184	15.0377	video
154	651.3346	16.5299	video
164	694.4747	14.5569	video
174	730.9830000000001	13.844000000000001	video
184	773.8247	14.8719	video
194	812.936	16.878	video
204	849.6764	14.6895	video
214	889.3845	14.6398	video
224	928.1973	14.1259	video
234	974.7860000000001	14.8885	video
244	1018.9209	14.4077	video
254	1065.8909	15.3859	video
264	1106.1628	14.6895	video
274	1142.5053	13.1807	video
284	1179.3783	16.563	video
294	1224.8561	16.2149	video
304	1265.5425	14.2419	video
314	1303.3274	15.8667	video
324	1340.1175	14.2088	video
334	1380.8371	13.8771	video
344	1418.4727	16.1652	video
354	1456.2411	15.4024	video
364	1496.8445	13.3798	video
374	1533.4357	17.077	video
384	1570.5077	17.3091	video
394	1609.1714	12.302	video
404	1642.4135	15.7009	video
414	1686.996	12.6834	video
424	1720.1055	13.2637	video
434	1758.8189	14.0429	video
444	1798.3281	13.8108	video
454	1834.0737	16.6625	video
464	1878.2915	13.7777	video
474	1921.9953	13.5788	video
484	61.8637	14.3911	emotion
485	100.9583	14.2916	emotion
486	141.197	15.933	emotion
487	141.197	15.933	tom
488	181.9994	12.8326	tom
489	214.8104	14.2916	emotion
490	214.8104	14.2916	tom
491	253.1093	16.1982	emotion
492	297.7084	15.1371	emotion
493	376.3454	15.1703	emotion
494	376.3454	15.1703	tom
495	417.3965	15.6677	tom
496	532.9397	15.0874	emotion
497	532.9397	15.0874	tom
498	571.6365	16.7619	emotion
499	571.6365	16.7619	tom
500	610.184	15.0377	tom
501	651.3346	16.5299	emotion
502	694.4747	14.5569	emotion
503	694.4747	14.5569	tom
504	730.9830000000001	13.844000000000001	emotion
505	730.9830000000001	13.844000000000001	tom
506	812.936	16.878	tom
507	849.6764	14.6895	emotion
508	889.3845	14.6398	emotion
509	889.3845	14.6398	tom
510	928.1973	14.1259	emotion
511	1018.9209	14.4077	tom
512	1065.8909	15.3859	tom
513	1106.1628	14.6895	emotion
514	1142.5053	13.1807	emotion
515	1224.8561	16.2149	tom
516	1303.3274	15.8667	emotion
517	1303.3274	15.8667	tom
518	1418.4727	16.1652	emotion
519	1456.2411	15.4024	tom
520	1496.8445	13.3798	tom
521	1533.4357	17.077	emotion
522	1533.4357	17.077	tom
523	1642.4135	15.7009	emotion
524	1686.996	12.6834	tom
525	1720.1055	13.2637	emotion
526	1720.1055	13.2637	tom
527	1758.8189	14.0429	emotion
528	1758.8189	14.0429	tom
529	1798.3281	13.8108	emotion
530	1834.0737	16.6625	tom
531	1878.2915	13.7777	tom
