	onset	duration	trial_type
4	48.5334	15.0874	video
14	88.5066	14.390999999999998	video
24	132.2268	15.4521	video
34	177.4391	14.2087	video
44	219.8992	13.2471	video
54	262.2267	16.1816	video
64	301.5533	13.3631	video
74	339.9847	13.1475	video
84	375.3819	16.6127	video
94	420.5445	14.3579	video
104	463.0378	14.2916	video
114	504.2876	14.0429	video
124	553.8604	12.8491	video
134	591.8606	12.302	video
144	630.5904	14.5734	video
154	673.034	15.1205	video
164	719.7219	17.0769	video
174	768.1009	16.2645	video
184	818.6353	17.2924	video
194	864.9253	14.8884	video
204	904.4177	15.9163	video
214	947.4913	15.1537	video
224	990.0343	16.7785	video
234	1033.0913	14.2418	video
244	1073.1806	13.1641	video
254	1111.6617	15.85	video
264	1152.3312	14.8884	video
274	1196.8307	16.1981	video
284	1243.0046	13.761	video
294	1287.9848	13.8771	video
304	1339.3648	15.4023	video
314	1384.0466	14.706	video
324	1433.9178	16.5297	video
334	1477.6214	14.1257	video
344	1521.4244	16.2148	video
354	1574.1142	15.6842	video
364	1610.0254	13.6118	video
374	1648.7220000000002	16.6292	video
384	1704.0313	14.2915	video
394	1748.8789	13.7941	video
404	1785.4698	14.8885	video
414	1827.3663	12.6999	video
424	1870.2244	15.6344	video
434	1916.2657	14.6563	video
444	1968.3088	14.6894	video
454	2016.7707	13.8771	video
464	2065.1995	15.0376	video
474	2120.1772	16.8779	video
484	48.5334	15.0874	emotion
485	48.5334	15.0874	tom
486	88.5066	14.390999999999998	tom
487	132.2268	15.4521	tom
488	219.8992	13.2471	emotion
489	219.8992	13.2471	tom
490	262.2267	16.1816	emotion
491	301.5533	13.3631	tom
492	420.5445	14.3579	emotion
493	463.0378	14.2916	emotion
494	463.0378	14.2916	tom
495	504.2876	14.0429	emotion
496	504.2876	14.0429	tom
497	553.8604	12.8491	tom
498	630.5904	14.5734	emotion
499	630.5904	14.5734	tom
500	673.034	15.1205	emotion
501	719.7219	17.0769	emotion
502	719.7219	17.0769	tom
503	904.4177	15.9163	emotion
504	904.4177	15.9163	tom
505	947.4913	15.1537	emotion
506	947.4913	15.1537	tom
507	990.0343	16.7785	emotion
508	990.0343	16.7785	tom
509	1073.1806	13.1641	emotion
510	1111.6617	15.85	emotion
511	1111.6617	15.85	tom
512	1196.8307	16.1981	emotion
513	1243.0046	13.761	tom
514	1287.9848	13.8771	emotion
515	1287.9848	13.8771	tom
516	1339.3648	15.4023	tom
517	1384.0466	14.706	emotion
518	1433.9178	16.5297	emotion
519	1477.6214	14.1257	emotion
520	1521.4244	16.2148	tom
521	1574.1142	15.6842	emotion
522	1648.7220000000002	16.6292	tom
523	1704.0313	14.2915	emotion
524	1748.8789	13.7941	emotion
525	1827.3663	12.6999	tom
526	1870.2244	15.6344	tom
527	1916.2657	14.6563	emotion
528	1916.2657	14.6563	tom
529	1968.3088	14.6894	emotion
530	2065.1995	15.0376	tom
531	2120.1772	16.8779	tom
