	onset	duration	trial_type
4	53.8229	16.5797	video
14	92.8681	13.7612	video
24	130.8191	13.3632	video
34	166.167	15.1207	video
44	200.9346	15.071	video
54	238.6369	14.2751	video
64	276.0075	13.097999999999999	video
74	310.2612	14.043	video
84	344.9294	15.0378	video
94	380.1778	14.8886	video
104	417.4656	14.8886	video
114	456.6268	16.1984	video
124	494.7768	15.9331	video
134	536.2923	14.2918	video
144	572.1874	16.2647	video
154	613.0398	15.6347	video
164	650.7586	13.8441	video
174	690.2515	12.3187	video
184	726.13	13.1643	video
194	765.4736	15.4192	video
204	802.8277	16.6626	video
214	839.187	16.8782	video
224	874.6676	16.1652	video
234	911.4082	14.1259	video
244	948.6297	14.7228	video
254	989.8303	12.6835	video
264	1028.4776	14.6896	video
274	1067.5891	14.4078	video
284	1105.7225	15.1538	video
294	1145.6961	17.1103	video
304	1185.1061	15.6844	video
314	1223.8861	13.8938	video
324	1260.063	13.5622	video
334	1293.2556	13.2472	video
344	1328.9351	16.215	video
354	1368.6269	14.8886	video
364	1406.495	13.7943	video
374	1439.3228	16.5134	video
384	1475.3837	16.7787	video
394	1510.8643	15.4025	video
404	1548.5831	14.6565	video
414	1583.9808	14.357999999999999	video
424	1620.307	17.2926	video
434	1659.6009	15.8667	video
444	1695.8773	14.557	video
454	1733.6127	14.242	video
464	1768.8612	12.8493	video
474	1805.6018	14.2088	video
484	92.8681	13.7612	tom
485	130.8191	13.3632	tom
486	166.167	15.1207	emotion
487	200.9346	15.071	emotion
488	200.9346	15.071	tom
489	238.6369	14.2751	emotion
490	310.2612	14.043	emotion
491	310.2612	14.043	tom
492	344.9294	15.0378	tom
493	456.6268	16.1984	emotion
494	494.7768	15.9331	emotion
495	494.7768	15.9331	tom
496	536.2923	14.2918	emotion
497	536.2923	14.2918	tom
498	613.0398	15.6347	tom
499	650.7586	13.8441	emotion
500	650.7586	13.8441	tom
501	726.13	13.1643	emotion
502	765.4736	15.4192	tom
503	802.8277	16.6626	tom
504	839.187	16.8782	tom
505	874.6676	16.1652	emotion
506	911.4082	14.1259	emotion
507	948.6297	14.7228	emotion
508	989.8303	12.6835	tom
509	1028.4776	14.6896	emotion
510	1067.5891	14.4078	tom
511	1105.7225	15.1538	emotion
512	1105.7225	15.1538	tom
513	1145.6961	17.1103	emotion
514	1145.6961	17.1103	tom
515	1185.1061	15.6844	emotion
516	1293.2556	13.2472	emotion
517	1293.2556	13.2472	tom
518	1328.9351	16.215	tom
519	1406.495	13.7943	emotion
520	1439.3228	16.5134	emotion
521	1475.3837	16.7787	emotion
522	1475.3837	16.7787	tom
523	1510.8643	15.4025	tom
524	1548.5831	14.6565	emotion
525	1548.5831	14.6565	tom
526	1583.9808	14.357999999999999	emotion
527	1659.6009	15.8667	emotion
528	1659.6009	15.8667	tom
529	1695.8773	14.557	emotion
530	1695.8773	14.557	tom
531	1768.8612	12.8493	tom
